ISBN,TITLE,ANALYZE,$ USED,$ NEW,$ AMAZON,$ TRADE-IN,# USED,# NEW,RANK,AVG. RANK,PUB DATE
323354785,Roberts and Hedges Clinical Procedures i…,,147.1,179.83,193.99,No Value,7,23,"38,874","68,003",2018
470484101,How Learning Works: Seven Research-Based…,,16.97,37.99,40,No Value,54,26,"78,863","68,021",2010
1524714348,The Maze Runner Series Complete Collecti…,,46,59.62,59.62,No Value,18,25,"28,017","68,063",2016
155783699X,Acting in Film,,37.83,37.88,39.95,No Value,1,3,"43,271","68,084",2007
1119067510,Excel 2016 Bible,,18.95,38.61,50.48,No Value,26,13,"63,677","68,222",2015
718085418,"NKJV, Thinline Bible, Large Print, Leath…",,28.95,32.97,34.99,No Value,5,6,"91,645","68,249",2018
867095199,When Kids Can't Read: What Teachers Can …,,6.88,41.39,42.48,No Value,169,24,"93,709","68,267",2002
134704452,Prehospital Emergency Care,,91.46,131.66,131.66,No Value,32,5,"44,300","68,275",2017
1480216445,"Viking Language 1 Learn Old Norse, Runes…",,28.74,35.99,35.99,No Value,14,21,"55,060","68,372",2017
3832798587,The Watch Book (Lifestyle),,59.99,64.86,64.86,No Value,9,4,"39,646","68,377",2015
1606999583,The Complete Peanuts 1999-2000 Comics & …,,30.79,33.89,33.92,No Value,22,25,"54,285","68,523",2016
688146570,Baking with Julia: Savor the Joys of Bak…,,7.08,29.38,36.37,No Value,161,35,"62,540","68,581",1996
135227763,The Life Span: Human Development for Hel…,,85.99,93.31,93.32,No Value,10,7,"56,229","68,583",2019
62447920,Breaking Bread: A Baker's Journey Home i…,,30.76,32.33,35,No Value,9,14,"17,318","68,633",2017
1585624705,"Introductory Textbook of Psychiatry, Six…",,49.51,67.49,67.49,No Value,32,20,"65,320","68,649",2014
1401291198,Blackest Night Omnibus (10th Anniversary…,,103.98,96.81,150,No Value,9,12,"67,197","68,661",2019
991603869,The Better Part: A Christ-Centered Resou…,,33.16,34.95,34.95,No Value,11,4,"81,663","68,667",2011
1616897821,Bernard Trainor: Ground Studio Landscape…,,31.78,32.52,39.37,No Value,6,21,"46,850","68,718",2019
1401249272,Batman: Death of the Family Book and Jok…,,53.94,31.95,35.99,No Value,2,10,"54,148","68,778",2014
982789742,Payments Systems in the U.S. - Third Edi…,,46.52,46.99,46.99,No Value,7,9,"56,898","68,791",2017
1444331434,Manual of Perioperative Care in Adult Ca…,,57.99,63.69,69.52,No Value,15,15,"81,180","68,796",2011
262640686,The Elements of Computing Systems: Build…,,28.58,33.85,33.87,No Value,28,21,"46,377","68,922",2005
1452147329,Game of Thrones: A Guide to Westeros and…,,25.31,29.91,31.49,No Value,15,25,"68,152","68,946",2019
078144540X,The Wiersbe Bible Commentary OT: The Com…,,17.96,33.86,33.86,No Value,26,25,"58,770","68,954",2007
1305971493,Principles of Microeconomics,,35.7,114.99,204.98,No Value,32,3,"94,663","68,956",2017
1414378955,"NKJV Life Application Study Bible, Secon…",,48.92,39.99,39.99,No Value,11,29,"90,234","69,056",2013
60899182,Read My Pi Stories from a Diplomat's Jew…,,11.78,31.31,45,No Value,75,15,"58,471","69,072",2009
321127420,Patterns of Enterprise Application Archi…,,44.99,49.89,49.89,No Value,9,8,"77,677","69,124",2002
921145411,More Than Words,,51.23,54,54,No Value,17,5,"51,453","69,218",2012
134419707,Exploring Lifespan Development,,83.82,98.26,98.72,No Value,27,8,"83,244","69,289",2017
307720012,Barefoot Contessa Cookbook Collection: T…,,53.14,64.57,64.59,No Value,24,28,"33,255","69,406",2010
323554962,Advanced Health Assessment & Clinical Di…,,78.8,87.97,90.16,No Value,12,10,"71,004","69,537",2019
323414257,Mosby's Medical Dictionary,,33.99,35.5,35.51,No Value,12,29,"76,315","69,538",2016
1496309758,BRS Pediatrics (Board Review Series),,41.7,40.15,56.99,No Value,7,6,"61,405","69,559",2018
62572555,The C. S. Lewis Signature Classics (Gift…,,45.49,42.55,42.56,No Value,16,30,"49,014","69,578",2017
323414427,Gould's Pathophysiology for the Health P…,,64.98,107.5,108.06,No Value,34,11,"87,010","69,623",2017
997834935,Ace the PCCN You Can Do It! Study Guide,,51.99,49.88,56.27,No Value,9,8,"90,054","69,647",2017
1401284124,Absolute Batman: The Killing Joke (30th …,,42.44,42.92,49.77,No Value,12,24,"77,717","69,703",2018
940450798,Frederick Douglass : Autobiographies : N…,,26.66,33.62,42.5,No Value,17,12,"77,798","69,722",1994
